Xで | Yが | つかぬ
Xでも | Yで -> 泣いて | 記憶している
Xでも | Y -> 泣いて | 記憶している
Xでも | Yだけは | 記憶している
Xは | Yで -> 始めて -> 人間という -> ものを | 見た
Xは | Yという -> ものを | 見た
Xは | Yを | 見た
Xで | Yは | 種族であったそうだ
Xで | Yという -> 人間中で | 種族であったそうだ
Xで | YYで | 種族であったそうだ
Xで | Y -> 獰悪な | 種族であったそうだ
Xで | Yな | 種族であったそうだ
XというXは | Yを -> 捕えて -> 煮て -> 食うという | 話である
Xは | Yという -> 考も -> なかったから | 思わなかった
Xは | Yも -> なかったから | 思わなかった
Xの | Yに -> 載せられて -> 持ち上げられた -> 時 -> フワフワした -> 感じが | あったばかりである
Xの | Yと -> 持ち上げられた -> 時 -> フワフワした -> 感じが | あったばかりである
Xの | Y -> フワフワした -> 感じが | あったばかりである
Xの | Yが | あったばかりである
Xの | Yで -> 落ちついて -> 見たのが -> 人間という -> ものの | 見始であろう
Xの | Yの -> 顔を -> 見たのが -> 人間という -> ものの | 見始であろう
Xの | Yを -> 見たのが -> 人間という -> ものの | 見始であろう
Xの | 見たYが -> 人間という -> ものの | 見始であろう
Xの | Yという -> ものの | 見始であろう
Xの | Yの | 見始であろう
X | Yな -> ものだと -> 思った -> 感じが | 残っている
X | Yだと -> 思った -> 感じが | 残っている
X | Yが | 残っている
X | Yでも | 残っている
第XXをもって | YされべきYの -> 顔が -> つるつるして | 薬缶だ
第XXをもって | Yが -> つるつるして | 薬缶だ
X | Yにも -> 逢ったが | ない
X | 片Yには | ない
X | YYも -> 出会わした -> 事が | ない
X | Yが | ない
Xの | Yが | 突起している
そのXの | Yから | 吹く
そのXの | YYを | 吹く
Xが | Yの -> 飲む -> 煙草という -> ものである -> 事は | 知った
Xが | Yという -> ものである -> 事は | 知った
Xが | Yである -> 事は | 知った
Xが | Yは | 知った
Xが | Y | 知った
Xの | Yの -> 裏で -> 坐って -> おったが | 運転し始めた
Xの | Yで -> 坐って -> おったが | 運転し始めた
Xの | Yに -> 坐って -> おったが | 運転し始めた
Xの | Yな -> 速力で | 運転し始めた
Xの | Yで | 運転し始めた
Xが | 動くYか -> 動くのか -> 分らないが | 廻る
Xが | Yだけが -> 動くのか -> 分らないが | 廻る
Xが | 動くYか -> 分らないが | 廻る
Xが | Yが | 廻る
Xが | Yから | 出た
Xが | Yが | 出た
Xまでは | Yしているが | 分らない
Xまでは | Yは | 分らない
Xまでは | Yの -> 事やら | 分らない
Xまでは | Yやら | 分らない
Xが | Yは | いない
X | Yが | 見えぬ
X | Yも | 見えぬ
Xの | Yさえ | 隠してしまった
Xの | Yを | 隠してしまった
Xまでの | Yとは -> 違って | 明るい
Xでも | Yが -> おかしいと | 痛い
Xでも | Yに | 痛い
Xは | Yの -> 上から | 棄てられたのである
Xは | Yから | 棄てられたのである
Xは | Yに | 棄てられたのである
Xは | Yの -> 中へ | 棄てられたのである
Xは | Yへ | 棄てられたのである
Xで | Yを -> 這い出すと | ある
Xで | Yに | ある
Xで | Yが | ある
Xは | Yの -> 前に -> 坐って -> したら -> よかろうと -> 考えて | 見た
Xは | Yに -> 坐って -> したら -> よかろうと -> 考えて | 見た
Xという | Yも | 出ない
Xがまた | Yに -> 来てくれるかと | 考え付いた
X | Yと -> 試みに -> やって -> 見たが | 来ない
X | Yに -> やって -> 見たが | 来ない
X | Yも | 来ない
Xの | Yを -> 渡って | かかる
Xの | Yが -> 渡って | かかる
Xの | Yが | かかる
Xの | Y | かかる
Xが | Yに | 減って来た
Xが | Yでも | 廻り始めた
Xが | Yの -> ある -> 所まで -> ある | 廻り始めた
Xが | Yまで -> ある | 廻り始めた
Xが | Yを -> して -> そろり | 廻り始めた
Xが | Yを | 廻り始めた
Xが | Yりに | 廻り始めた
Xを | Yして -> 這って行くと | 出た
Xを | Yに -> 這って行くと | 出た
Xを | Yで | 出た
Xを | Y臭い -> 所へ | 出た
Xを | Yへ | 出た
Xへ | Yの -> 崩れた -> 穴から | もぐり込んだ
Xへ | Yから | もぐり込んだ
Xへ | YYに | もぐり込んだ
Xは | Yな -> もので | 餓死したかも知れんのである
Xは | Yで | 餓死したかも知れんのである
Xは | Yが -> 破れていなかったなら | 餓死したかも知れんのである
Xは | Yは | 餓死したかも知れんのである
Xは | Yに | 餓死したかも知れんのである
Xの | Yとは -> 云った | ものだ
Xの | Yは | なっている
Xの | Yに -> 至るまで -> 訪問する -> 時の -> 通路に | なっている
Xの | Yが -> 訪問する -> 時の -> 通路に | なっている
Xの | Yの -> 三毛を -> 訪問する -> 時の -> 通路に | なっている
Xの | YYを -> 訪問する -> 時の -> 通路に | なっている
Xの | Yする -> 時の -> 通路に | なっている
Xの | Yの -> 通路に | なっている
Xの | Yに | なっている
Xへは | Y -> 善いか | 分らない
Xに | Yは -> 減る -> 寒し -> 降って来るという -> 始末で | 出来なくなった
Xに | 寒Yは -> 寒し -> 降って来るという -> 始末で | 出来なくなった
Xに | Yが -> 降って来るという -> 始末で | 出来なくなった
Xに | Yで | 出来なくなった
Xに | Yの -> 猶予が | 出来なくなった
Xに | Yが | 出来なくなった
Xが | 暖かYな -> 方へ | あるいて行く
Xが | Yへ | あるいて行く
Xが | Yへと | あるいて行く
Xから | Yは | おったのだ
Xから | Yの -> 内に -> 這入って | おったのだ
Xから | Yに -> 這入って | おったのだ
Xで | Yは | 遭遇したのである
Xで | Yの -> 書生以外の -> 人間を -> 見るべき -> 機会に | 遭遇したのである
Xで | YYの -> 人間を -> 見るべき -> 機会に | 遭遇したのである
Xで | Yを -> 見るべき -> 機会に | 遭遇したのである
Xで | Yに | 遭遇したのである
第Xに | 逢ったYが | おさんである
Xは | Yの -> 書生より -> 見るや | 抛り出した
Xは | Yより -> 見るや | 抛り出した
Xは | Yな -> 方で -> 見るや | 抛り出した
Xは | Yで -> 見るや | 抛り出した
Xは | Yを -> 見るや | 抛り出した
Xは | Yいきなり -> つかんで | 抛り出した
Xは | Yを -> つかんで | 抛り出した
Xは | Yへ | 抛り出した
Xは | Yだと -> 思ったから | 任せていた
Xは | Yを -> ねぶって | 任せていた
Xは | Yを | 任せていた
Xは | Yに | 任せていた
ひもじいXと | 寒いYには | 出来ん
ひもじいXと | Yが | 出来ん
Xは | Yの -> 隙を -> 見て | 這い上った
Xは | Yを -> 見て | 這い上った
Xは | Yへ | 這い上った
Xは | Yでも -> 繰り返したのを | 記憶している
Xは | Yを -> 繰り返したのを | 記憶している
Xは | YYY -> 繰り返したのを | 記憶している
Xは | 繰り返したYを | 記憶している
Xに | Yと -> 云う -> 者は | いやになった
Xに | Yは | いやになった
X | Yの -> 三馬を -> 偸んで -> してやってから | 下りた
X | YYを -> 偸んで -> してやってから | 下りた
X | Yんで -> してやってから | 下りた
X | Yを -> してやってから | 下りた
X | Yの -> 痞が | 下りた
X | Yが | 下りた
Xが | Yに -> つまみ出されようとした -> ときに | 出て来た
Xが | Yに | 出て来た
Xが | Yの -> 主人が | 出て来た
Xが | Yが | 出て来た
Xが | Yだと -> いいながら | 出て来た
Xは | Yを -> ぶら下げて -> 出しても -> 困りますと | いう
Xは | Yの -> 方へ -> 向けて -> 出しても -> 困りますと | いう
Xは | Yへ -> 向けて -> 出しても -> 困りますと | いう
Xは | Yなしの -> 小猫が -> 出しても -> 出しても -> 困りますと | いう
Xは | 小Yが -> 出しても -> 出しても -> 困りますと | いう
Xは | YYへ -> 上って来て -> 困りますと | いう
Xは | Yの -> 下の -> 黒い -> 毛を -> 撚りながら -> 眺めて -> おったが | 這入ってしまった
Xは | Yの -> 黒い -> 毛を -> 撚りながら -> 眺めて -> おったが | 這入ってしまった
Xは | Yを -> 撚りながら -> 眺めて -> おったが | 這入ってしまった
Xは | Yの -> 顔を -> 眺めて -> おったが | 這入ってしまった
Xは | Yを -> 眺めて -> おったが | 這入ってしまった
Xは | Yなら -> 置いてやれといったまま | 這入ってしまった
Xは | Yへ -> 置いてやれといったまま | 這入ってしまった
Xは | 置いてやれといったY | 這入ってしまった
Xは | Yへ | 這入ってしまった
Xは | Yを -> 聞かぬ -> 人と | 見えた
Xは | Yと | 見えた
Xは | 口惜しYに | 抛り出した
Xは | Yを | 抛り出した
Xは | Yへ | 抛り出した
Xは | Yを -> 極める -> 事に | したのである
Xは | Yの -> 住家と -> 極める -> 事に | したのである
Xは | YYと -> 極める -> 事に | したのである
Xは | Yに | したのである
Xの | Yは | ない
Xの | Yに -> 合せる -> 事が | ない
Xの | Yと -> 合せる -> 事が | ない
Xの | Yを -> 合せる -> 事が | ない
Xの | Yが | ない
Xから | Y -> 這入った -> ぎりほとんど出て来る -> 事が | ない
Xから | Yに -> 這入った -> ぎりほとんど出て来る -> 事が | ない
Xから | Y出て来る -> 事が | ない
Xから | Yが | ない
Xの | Yは -> 勉強家だと | 思っている
Xの | Yな -> 勉強家だと | 思っている
Xの | YYだと | 思っている
Xも | YYであるかの -> ごとく | 見せている
Xの | Yが -> いうような | 勤勉家ではない
Xの | いうYな | 勤勉家ではない
Xは | Yに -> 覗いて -> 見るが | ある
Xは | Yの -> 書斎を -> 覗いて -> 見るが | ある
Xは | Yを -> 覗いて -> 見るが | ある
Xは | Yは | ある
Xは | Yを -> している -> 事が | ある
Xは | Yが | ある
Xの | Yに | たらしている
Xの | Yを | たらしている
Xは | Yで -> 帯びて | あらわしている
Xは | Yの -> 色が -> 帯びて | あらわしている
Xは | Yが -> 帯びて | あらわしている
Xは | Yを -> 帯びて | あらわしている
Xは | Yの -> ない -> 徴候を | あらわしている
Xは | 不Yな -> 徴候を | あらわしている
Xは | Yを | あらわしている
Xに | Yを | 食う
Xを | Yで | 飲む
Xを | Yを | 飲む
Xで | Yを | ひろげる
Xを | Yの -> 上へ | 垂らす
Xを | Yへ | 垂らす
Xが | Yの -> 毎夜 -> 繰り返す | 日課である
Xが | Y -> 繰り返す | 日課である
Xは | Yながら -> 考える -> 事が | ある
Xは | Yが | ある
Xという | Yは | ものだ
Xという | Yな | ものだ
Xと | Yと -> なるに | 限る
Xなら | Yにでも -> 出来ぬ -> 事は | ないと
Xなら | Yは | ないと
Xに | Yほど -> つらい -> ものは -> ないそうで | 鳴らしている
Xに | Yは -> ないそうで | 鳴らしている
Xに | ないYで | 鳴らしている
Xに | Yは | 鳴らしている
Xに | Yが -> 来る -> 度に | 鳴らしている
Xに | Yに | 鳴らしている
Xに | Yとか -> 不平を | 鳴らしている
Xに | Yを | 鳴らしている
Xが | Yへ -> 住み込んだ -> 当時は | 不人望であった
Xが | Yは | 不人望であった
Xが | YYの -> ものには | 不人望であった
Xが | Yには | 不人望であった
Xへ | Yに -> してくれ | なかった
Xへ | Yが | なかった
Xされなかったかは | Yに -> 至るまで -> つけてくれないのでも | 分る
Xされなかったかは | Yさえ -> つけてくれないのでも | 分る
Xされなかったかは | つけてくれないYでも | 分る
Xは | Yが -> ないから | つとめた
Xは | Y -> 入れてくれた -> 主人の -> 傍に -> いる -> 事を | つとめた
Xは | Yを -> 入れてくれた -> 主人の -> 傍に -> いる -> 事を | つとめた
Xは | Yの -> 傍に -> いる -> 事を | つとめた
Xは | Yに -> いる -> 事を | つとめた
Xは | Yを | つとめた
XXが | Yを -> 読む -> ときは | 乗る
XXが | Yは | 乗る
XXが | Yの -> 膝の -> 上に | 乗る
XXが | Yの -> 上に | 乗る
XXが | Yに | 乗る
Xが | Yを -> する -> ときは | 乗る
Xが | Yは | 乗る
Xが | Yに | 乗る
Xは | Yが -> 好きという -> 訳ではないが -> なかったから | やむを得んのである
Xは | Yという -> 訳ではないが -> なかったから | やむを得んのである
Xは | Yではないが -> なかったから | やむを得んのである
Xは | Yに -> なかったから | やむを得んのである
Xは | 構いYが -> なかったから | やむを得んのである
X | Yの -> 上 | した
X | Y | した
X | Yは | した
X | Yの -> 上 | した
X | Y | した
X | Yは | した
X | Yの -> 上 | した
X | Y | した
X | Yの -> よい -> 昼は | した
X | Yは | した
X | Yへ -> 寝る -> 事と | した
X | Yと | した
X | Yの -> 好いのは | 事である
X | 好いYは | 事である
X | Yに -> 入って -> ねる | 事である
X | Yの -> うちの -> 小供の -> 寝床へ -> もぐり込んで -> ねる | 事である
X | Yの -> 小供の -> 寝床へ -> もぐり込んで -> ねる | 事である
X | 小Yの -> 寝床へ -> もぐり込んで -> ねる | 事である
X | Yへ -> もぐり込んで -> ねる | 事である
X | Yに -> ねる | 事である
小XというXは | Yと -> 三つで -> なると | 寝る
小XというXは | Yで -> なると | 寝る
小XというXは | Yに -> なると | 寝る
小XというXは | YYが | 寝る
小XというXは | Y | 寝る
小XというXは | Yへ -> 入って | 寝る
小XというXは | Yへ | 寝る
Xは | Yでも -> 見出して -> 割り込むのであるが | なる
Xは | Yの -> 中間に -> 見出して -> 割り込むのであるが | なる
Xは | Yに -> 見出して -> 割り込むのであるが | なる
Xは | Yれを -> 見出して -> 割り込むのであるが | なる
Xは | Yるべき -> 余地を -> 見出して -> 割り込むのであるが | なる
Xは | Yを -> 見出して -> 割り込むのであるが | なる
Xは | 割り込むYであるが | なる
Xは | Y悪く -> 醒ますが | なる
Xは | 小Yの -> 一人が -> 醒ますが | なる
Xは | YYが -> 醒ますが | なる
Xは | Yを -> 醒ますが | なる
Xは | YYな -> 事に | なる
Xは | Yに | なる
小XはX | Yが -> 来た -> 猫が -> 来たと -> いって | 泣き出すのである
小XはX | Yが -> 来た -> 猫が -> 来たと -> いって | 泣き出すのである
小XはX | わるいYYが -> 来た -> 猫が -> 来たと -> いって | 泣き出すのである
小XはX | Yが -> 来たと -> いって | 泣き出すのである
小XはX | Yでも | 泣き出すのである
小XはX | Yでも | 泣き出すのである
小XはX | Yで | 泣き出すのである
Xの | YYYの -> 主人は | 飛び出してくる
Xの | Yは | 飛び出してくる
Xの | Yを -> さまして | 飛び出してくる
Xの | Yの -> 部屋から | 飛び出してくる
Xの | Yから | 飛び出してくる
Xなどは | YYで | 叩かれた
Xなどは | YY | 叩かれた
Xは | Yと -> 同居して -> 観察すれば -> する -> ほど | 断言せざるを得ないようになった
Xは | Yして -> 観察すれば -> する -> ほど | 断言せざるを得ないようになった
Xは | Yを -> 観察すれば -> する -> ほど | 断言せざるを得ないようになった
Xは | Yすれば -> する -> ほど | 断言せざるを得ないようになった
Xは | Yは | 断言せざるを得ないようになった
Xは | Yな -> ものだと | 断言せざるを得ないようになった
Xは | Yだと | 断言せざるを得ないようになった
Xが | Yする -> 小供の -> ごときに -> 至っては | 言語同断である
Xが | 小Yの -> ごときに -> 至っては | 言語同断である
Xが | ごYに -> 至っては | 言語同断である
Xの | Yな -> 時は | 押し込んだりする
Xの | Yは | 押し込んだりする
Xの | Yを -> したり -> かぶせたり -> 抛り出したり | 押し込んだりする
Xの | Yに -> したり -> かぶせたり -> 抛り出したり | 押し込んだりする
Xの | Yへ -> かぶせたり -> 抛り出したり | 押し込んだりする
Xの | Yを -> かぶせたり -> 抛り出したり | 押し込んだりする
Xの | Yへ | 押し込んだりする
Xの | Yで -> しようものなら | 加える
Xの | Yを -> しようものなら | 加える
Xの | しようYなら | 加える
Xの | YYYで -> 追い廻して | 加える
Xの | Yを | 加える
Xも | Yで -> 磨いだら | 入れない
Xも | Yを -> 磨いだら | 入れない
Xも | Yが -> 怒って | 入れない
Xも | Yに -> 怒って | 入れない
Xも | Yから | 入れない
Xも | Yに | 入れない
Xも | Yへ | 入れない
Xの | Yで -> 顫えていても | ものである
Xの | Yが -> 顫えていても | ものである
Xの | Yえていても | ものである
Xの | Yな | ものである
Xの | Yする -> 筋向の -> 白君などは | るる
Xの | YYの -> 白君などは | るる
Xの | YYなどは | るる
Xの | YYに -> ないと -> 言って | るる
Xの | Yほど -> ないと -> 言って | るる
Xの | Yな -> ものは -> ないと -> 言って | るる
Xの | Yは -> ないと -> 言って | るる
Xの | Y | るる
XXは | YYのYな -> 子猫を | 産まれたのである
XXは | Yを | 産まれたのである
XXは | YY | 産まれたのである
Xの | Yの -> 書生が | 来たそうだ
Xの | Yが | 来たそうだ
Xの | YYYに -> 持って | 来たそうだ
Xの | Yを -> 持って | 来たそうだ
Xの | Yの -> 池へ -> 持って | 来たそうだ
Xの | Yへ -> 持って | 来たそうだ
Xの | YYながら -> 棄てて | 来たそうだ
XXは | Yを -> 流して -> 話した -> 上 -> 剿滅せねばならぬと | いわれた
XXは | Yを -> 話した -> 上 -> 剿滅せねばならぬと | いわれた
XXは | Y -> 剿滅せねばならぬと | いわれた
XXは | YYYYが -> するには -> 剿滅せねばならぬと | いわれた
XXは | Yの -> 愛を -> するには -> 剿滅せねばならぬと | いわれた
XXは | Yを -> するには -> 剿滅せねばならぬと | いわれた
XXは | Y -> くして -> 美しい -> 家族的生活を -> するには -> 剿滅せねばならぬと | いわれた
XXは | YYYを -> するには -> 剿滅せねばならぬと | いわれた
XXは | Yと -> 戦って -> 剿滅せねばならぬと | いわれた
XXは | Yを -> 剿滅せねばならぬと | いわれた
XXは | Yせねばならぬと | いわれた
Xの | Yと | 思う
XXXなどは | Yが -> 所有権という -> 事を -> 解していないと -> いって | 憤慨している
XXXなどは | YYという -> 事を -> 解していないと -> いって | 憤慨している
XXXなどは | Yを -> 解していないと -> いって | 憤慨している
XXXなどは | Yに | 憤慨している
X | YYでは | なっている
X | YYの -> 頭でも -> 臍でも -> 見付けた -> ものが -> 食う -> 権利が -> ある -> ものと | なっている
X | Yでも -> 臍でも -> 見付けた -> ものが -> 食う -> 権利が -> ある -> ものと | なっている
X | Yの -> 臍でも -> 見付けた -> ものが -> 食う -> 権利が -> ある -> ものと | なっている
X | Yでも -> 見付けた -> ものが -> 食う -> 権利が -> ある -> ものと | なっている
X | Y -> 先に -> 見付けた -> ものが -> 食う -> 権利が -> ある -> ものと | なっている
X | Yに -> 見付けた -> ものが -> 食う -> 権利が -> ある -> ものと | なっている
X | Yが -> 食う -> 権利が -> ある -> ものと | なっている
X | Yを -> 食う -> 権利が -> ある -> ものと | なっている
X | Yが -> ある -> ものと | なっている
X | Yと | なっている
Xが | Yを -> 守らなければ | ものだ
Xが | Yに -> 訴えて -> 善い -> くらいの | ものだ
XXは | Yが -> ないと -> 見えて -> 見付けた -> 御馳走は | 掠奪せらるるのである
XXは | YYが -> 見付けた -> 御馳走は | 掠奪せらるるのである
XXは | Yは | 掠奪せらるるのである
XXは | Yの -> ために | 掠奪せらるるのである
XXは | Yに | 掠奪せらるるのである
Xは | Yを -> 頼んで -> 食い得べき -> ものを -> 奪って | すましている
Xは | Yに -> 食い得べき -> ものを -> 奪って | すましている
Xは | YYが -> 食い得べき -> ものを -> 奪って | すましている
Xは | Yを -> 奪って | すましている
XXは | Yの -> 家に -> おり | 持っている
XXは | Yに -> おり | 持っている
XXは | YYYは | 持っている
XXは | Yの -> 主人を | 持っている
XXは | Yを | 持っている
Xは | Yの -> 家に -> 住んでいるだけ | 楽天である
Xは | Yに -> 住んでいるだけ | 楽天である
Xは | Yに関すると -> 両君よりも | 楽天である
Xは | Yよりも | 楽天である
そのX | Yが | 送られればよい
Xだって | Yまでも -> 栄える -> 事も | あるまい
Xだって | Yも | あるまい
Xを | Yの -> 時節を -> 待つが | よかろう
Xを | Yを -> 待つが | よかろう
Xで | Yの -> 家の -> 主人が -> 失敗した -> 話を | しよう
Xで | Yの -> 主人が -> 失敗した -> 話を | しよう
Xで | Yが -> 失敗した -> 話を | しよう
Xで | Yで -> 失敗した -> 話を | しよう
Xで | Yした -> 話を | しよう
Xで | Yを | しよう
Xは | Yといって -> 勝れて -> 出来る -> 事も -> ないが | 出したがる
Xは | Yに -> 勝れて -> 出来る -> 事も -> ないが | 出したがる
Xは | Yも -> ないが | 出したがる
Xは | Yにでも | 出したがる
Xは | Yを | 出したがる
Xを | Yへ -> したり -> 出したり -> かいたり -> 鳴らしたりするが | おらん
Xを | Yを -> したり -> 出したり -> かいたり -> 鳴らしたりするが | おらん
Xを | Yを -> 出したり -> かいたり -> 鳴らしたりするが | おらん
Xを | Yへ -> 出したり -> かいたり -> 鳴らしたりするが | おらん
Xを | Y -> だらけの -> 英文を -> かいたり -> 鳴らしたりするが | おらん
Xを | Yの -> 英文を -> かいたり -> 鳴らしたりするが | おらん
Xを | Yを -> かいたり -> 鳴らしたりするが | おらん
Xを | Yに -> 凝ったり -> 習ったりまた -> ある -> ときは -> 鳴らしたりするが | おらん
Xを | Yを -> 習ったりまた -> ある -> ときは -> 鳴らしたりするが | おらん
Xを | Yは -> 鳴らしたりするが | おらん
Xを | Yなどを -> 鳴らしたりするが | おらん
Xを | Yな -> 事には | おらん
Xを | Yには | おらん
Xを | Yも | おらん
Xを | Yも | おらん
Xを | Yに -> なって | おらん
X | Yの -> 癖に | 熱心だ
X | Yに | 熱心だ
X | Yに | 熱心だ
Xの | Yで -> うたって -> もので | 繰返している
Xの | Yを -> うたって -> もので | 繰返している
Xの | Yで -> つけられているにも -> 関せず -> もので | 繰返している
Xの | YYと -> 渾名を -> つけられているにも -> 関せず -> もので | 繰返している
Xの | Yを -> つけられているにも -> 関せず -> もので | 繰返している
Xの | Yせず -> もので | 繰返している
Xの | Yな -> もので | 繰返している
Xの | Yで | 繰返している
Xの | Yは | 繰返している
Xの | Yの -> 宗盛にて | 繰返している
Xの | YYにて | 繰返している
Xの | Yを | 繰返している
Xが | そらYYだと -> 吹き出す | くらいである
Xが | Yに -> なった -> ものか | 帰って来た
Xが | Yか | 帰って来た
Xが | Yの -> 住み込んでから -> ある -> 月の -> 月給日に | 帰って来た
Xが | YばかりYの -> ある -> 月の -> 月給日に | 帰って来た
Xが | Yの -> 月給日に | 帰って来た
Xが | YYに | 帰って来た
Xが | Yを -> 提げて | 帰って来た
Xを | 買って来たYかと -> 思うと | 見えた
Xを | YYと -> 毛筆と -> ワットマンという -> 紙で -> やめて | 見えた
Xを | Yと -> ワットマンという -> 紙で -> やめて | 見えた
Xを | Yという -> 紙で -> やめて | 見えた
Xを | Yで -> やめて | 見えた
Xを | Yから -> やめて | 見えた
Xを | Yや -> 俳句を -> やめて | 見えた
Xを | Yを -> やめて | 見えた
Xを | Yを | 見えた
Xを | Yと | 見えた
Xから | Yの -> 間という -> ものは | かいている
Xから | Yという -> ものは | かいている
Xから | Yは | かいている
Xから | Y -> 毎日書斎で -> しないで | かいている
Xから | YYで -> しないで | かいている
Xから | Yも -> しないで | かいている
Xから | Yばかり | かいている
X | Yを -> 見ると | つかない
X | Yを -> かいた -> ものやら | つかない
X | Yやら | つかない
X | Yにも | つかない
X | Yが | つかない
Xも | Yか | 聞いた
Xも | Y -> やっている -> 人が -> 来た -> 時に -> しているのを | 聞いた
Xも | Yで -> やっている -> 人が -> 来た -> 時に -> しているのを | 聞いた
Xも | Yとかを -> やっている -> 人が -> 来た -> 時に -> しているのを | 聞いた
Xも | Yが -> 来た -> 時に -> しているのを | 聞いた
Xも | Yに -> しているのを | 聞いた
Xも | YのYな -> 話を -> しているのを | 聞いた
Xも | Yを -> しているのを | 聞いた
Xも | しているYを | 聞いた
XXを | ないYだが -> 感ずる | 述懐である
XXを | Y -> とって -> 見ると -> 感ずる | 述懐である
XXを | Yを -> とって -> 見ると -> 感ずる | 述懐である
XXを | YのYに -> 感ずる | 述懐である
XXを | Yは | 述懐である
XXを | Yの | 述懐である
Xの | Yは | ものではない
Xの | Yの -> 眼鏡越に -> 見ながら | ものではない
Xの | YYに -> 見ながら | ものではない
Xの | Yの -> 顔を -> 見ながら | ものではない
Xの | Yを -> 見ながら | ものではない
Xの | Yから -> かけないさ | ものではない
Xの | Yには -> かけないさ | ものではない
Xの | 第YYの -> 想像ばかりで -> かける -> 訳の | ものではない
Xの | Yばかりで -> かける -> 訳の | ものではない
Xの | Yが -> かける -> 訳の | ものではない
Xの | Yの | ものではない
Xし | YYの -> 大家アンドレア・デル・サルトが -> 言った -> 事が | ある
Xし | YYが -> 言った -> 事が | ある
Xし | Yが | ある
Xを | Yでも | 写せ
Xを | Yその -> 物を | 写せ
Xを | Yを | 写せ
Xに | Y | あり
Xに | YY | あり
Xに | Y | あり
Xに | YY | あり
Xは | Y -> 一幅の | 大活画なりと
Xは | YYの | 大活画なりと
Xも | Yらしい -> 画を -> かこうと -> 思うなら | したら
Xも | Yを -> かこうと -> 思うなら | したら
Xも | Yを | したら
へえXが | Yを -> いった -> 事が | あるかい
へえXが | Yが | あるかい
そのXだと | Yは | 感心している
Xの | Yには | 見えた
Xの | 嘲けるYな -> 笑が | 見えた
Xの | Yが | 見えた
X | Yは | やっている
X | Yのごとく -> 出て -> していたら | やっている
X | Yに -> 出て -> していたら | やっている
X | Y -> 善く -> していたら | やっている
X | Yを -> していたら | やっている
X | Yが -> 出て来て | やっている
X | Yに -> なく -> 出て来て | やっている
X | Yから -> 出て来て | やっている
X | Yの -> 後ろで | やっている
X | Yで | やっている
X | Yか | やっている
Xが | Yを -> しているかと -> 見ると | 極め込んでいる
Xが | YYばかり -> 見ると | 極め込んでいる
Xが | Yに -> あけて -> 見ると | 極め込んでいる
Xが | Yを -> あけて -> 見ると | 極め込んでいる
Xが | Yは | 極め込んでいる
Xが | Yも -> なく | 極め込んでいる
Xが | Yを | 極め込んでいる
Xは | Yを -> 見て -> 失笑するのを | 禁じ得なかった
Xは | YするYを | 禁じ得なかった
Xは | Yの -> 友に -> 揶揄せられたる -> 結果として | 写生しつつあるのである
Xは | Yに -> 揶揄せられたる -> 結果として | 写生しつつあるのである
Xは | Yせられたる -> 結果として | 写生しつつあるのである
Xは | Yとして | 写生しつつあるのである
Xは | Yに | 写生しつつあるのである
Xは | Yを | 写生しつつあるのである
Xは | Y | 寝た
Xが | Yに -> 執っているのを -> 動いては -> 気の毒だと -> 思って | おった
Xが | Yを -> 執っているのを -> 動いては -> 気の毒だと -> 思って | おった
Xが | 執っているYを -> 動いては -> 気の毒だと -> 思って | おった
Xが | Yだと -> 思って | おった
Xが | YYして | おった
Xは | Y -> かき上げて | 彩っている
Xは | Yの -> 輪廓を -> かき上げて | 彩っている
Xは | Yを -> かき上げて | 彩っている
Xは | Yの -> あたりを | 彩っている
Xは | Yを | 彩っている
Xは | Y | 彩っている
Xは | Yとして | 出来ではない
Xは | Yの | 出来ではない
Xと | Yと -> いい顔の -> 造作と -> いい -> 勝るとは | おらん
Xと | いいYの -> 造作と -> いい -> 勝るとは | おらん
Xと | Yと -> いい -> 勝るとは | おらん
Xと | Yの -> 猫に -> 勝るとは | おらん
Xと | Yに -> 勝るとは | おらん
Xの | Yでも | 思われない
Xの | Y -> 描き出されつつあるような -> 姿とは | 思われない
Xの | Yの -> 主人に -> 描き出されつつあるような -> 姿とは | 思われない
Xの | Yに -> 描き出されつつあるような -> 姿とは | 思われない
Xの | 描き出されつつあるYな -> 姿とは | 思われない
Xの | Yな -> 姿とは | 思われない
Xの | Yとは | 思われない
Xは | YYの -> 猫のごとく -> 含める -> 灰色に | 有している
Xは | Yのごとく -> 含める -> 灰色に | 有している
Xは | Yを -> 含める -> 灰色に | 有している
Xは | Yに | 有している
Xは | Yのごとき -> 斑入りの -> 皮膚を | 有している
Xは | Yの -> 皮膚を | 有している
Xは | Yを | 有している
Xだけは | Yが -> 見ても | 思う
Xだけは | Yと | 思う
今Xの | Yを -> 見ると | 色でもない
今Xの | Yでもなければ -> 黒でもない -> 灰色でもなければ -> 褐色でもない -> さればとて -> 交ぜた | 色でもない
今Xの | Yでもない -> 灰色でもなければ -> 褐色でもない -> さればとて -> 交ぜた | 色でもない
